team,home_game_id,away_game_id,off_eff,def_eff,efg_pct,ts_pct,threepar,ftr,adj_off_eff,adj_def_eff,luck
Arizona State Sun Devils,"[401819817, 401819818, 401819821, 401813764, 401827606, 401827619, 401827631]","[401819813, 401819814, 401819815, 401819816, 401831197, 401831200, 401819819, 401819820, 401819822, 401827593, 401827608, 401827638, 401827640]",109.77863830307577,110.50720430854231,0.5277031996997599,0.5756779411860197,0.3911552329458986,0.4174860462888674,100.7994093609478,114.67863631102936,0.06151089121779174
Arizona Wildcats,"[401813759, 401812789, 401812266, 401827599, 401827612, 401827625]","[401826885, 401824023, 401825588, 401826740, 401826886, 401823480, 401823529, 401823768, 401826887, 401826888, 401827604, 401827619, 401827637, 401827639]",122.71091027385482,90.8244538537697,0.5677290383607227,0.6100828508989321,0.2762101148070326,0.4432962374020419,109.64203373150067,95.21089810303076,-0.04007397932527135
Arkansas Baptist Buffaloes,"[401825185, 401830127, 401827196]",[],82.53477676531304,102.7690729184646,0.4033139778196275,0.464387558575604,0.280184138941201,0.2720234358652437,70.43740620941851,119.51830941209698,-0.02640650928288191
Arkansas Razorbacks,"[401826785, 401808159, 401808161, 401808178]","[401826784, 401824935, 401826786, 401826787, 401826788, 401817234, 401806374, 401826791, 401826789, 401823497, 401820294, 401826790, 401808145, 401808173, 401808188, 401808192]",121.7729474726798,105.0902077991658,0.567217443273661,0.6065332516254136,0.3730403378177511,0.3872965574742985,109.89087002272407,107.61879238572604,-0.19617647396873905
Arkansas State Red Wolves,"[401829048, 401829448, 401823323, 401829484, 401817457, 401825189, 401826810, 401808575, 401808584, 401808619, 401808626, 401808630, 401808637]","[401829483, 401828310, 401829463, 401823871, 401829485, 401808597, 401808602, 401808611]",111.64423468093536,107.93192786464265,0.5251288638567783,0.5757755056994973,0.4403492722714504,0.3820091608202333,98.606232738937,116.97799402060652,-0.08031850047198463
Arkansas Tech Wonder Boys,[401829485],[],85.59782608695653,139.14174252275683,0.5384615384615384,0.5335365853658537,0.4423076923076923,0.3076923076923077,74.11330170859588,145.40424744147694,-3.9809132225250454e-05
Arkansas-Pine Bluff Golden Lions,"[401827127, 401824088, 401824038, 401826777, 401827129, 401817456, 401827130, 401827131, 401827132, 401825574, 401827133, 401827138, 401827049, 401827026]","[401827134, 401827135, 401827136, 401827137, 401827140, 401827141]",102.98662956824592,113.97660589841756,0.504904984286089,0.5517441080613589,0.3811065186106353,0.3506645633189598,88.99662885316684,125.17957508730736,0.18525283231396145
Arlington Baptist Patriots,"[401830655, 401823866, 401819833]",[],71.47792927923199,143.82565963124443,0.3815295815295815,0.4364436722677281,0.271067821067821,0.3078643578643578,65.85726085021071,156.09664265536296,-1.1659130418250252e-06
Army Black Knights,"[401826793, 401826794, 401813322, 401812288, 401826056, 401826817, 401824366, 401824387, 401826820, 401820167]","[401826792, 401817230, 401812602, 401826815, 401823861, 401817148, 401826816, 401820611, 401826818, 401820195, 401826819]",106.70994570091467,113.1017678631027,0.5081906214571976,0.5406072573054521,0.5240864370867382,0.2766167944043922,92.02211056219429,126.04957851858046,0.11800027114710554
Auburn Tigers,"[401823478, 401823479, 401823480, 401823482, 401808146, 401808171, 401808186, 401808193]","[401823474, 401823475, 401823476, 401809305, 401823477, 401831218, 401806373, 401823481, 401823498, 401808156, 401808161, 401808177]",118.47516379864456,107.67085219889056,0.5332540594408274,0.5875690362843902,0.3896831711177044,0.4747996972716904,106.49201582553472,109.89681491255396,-0.1990204427886767
Auburn-Montgomery Senators,[401828312],[],53.70051635111876,92.95774647887325,0.25,0.268595041322314,0.4848484848484848,0.2272727272727272,50.47971162296443,100.05542412051096,-0.001991289170728319
Austin Peay Governors,"[401820550, 401823757, 401830115, 401828493, 401828283, 401823016, 401830122, 401807673, 401807679, 401807691]","[401830627, 401823464, 401824893, 401830628, 401807665, 401807670, 401807686, 401807701, 401807708]",109.84167263610138,97.08692650187032,0.5177808105758661,0.5535603832114762,0.414131061621712,0.3322338613283077,92.14989239088251,107.85630773376596,-0.2532184042951807
Averett Cougars,"[401826977, 401827057]",[],63.360198656641955,139.28177353922052,0.3168253968253968,0.3911342553803491,0.4001587301587301,0.3569841269841269,59.68358492274202,137.78712406674362,-1.258923826902969e-06
BYU Cougars,"[401812788, 401809419, 401830886, 401827596, 401827613, 401827628]","[401819834, 401812660, 401819835, 401819836, 401819837, 401812923, 401819838, 401819839, 401819840, 401819841, 401827606, 401827620, 401827642]",120.5512528385928,97.75729970776796,0.5642600688446221,0.6043595994873784,0.399027322125948,0.3758937119314346,107.5670961429026,103.44335483809608,-0.07521992781513953
Ball State Cardinals,"[401822319, 401822321, 401822323, 401822325, 401822327, 401814499, 401814511, 401814516, 401814529]","[401822317, 401822318, 401822320, 401822322, 401822324, 401822326, 401813772, 401822328, 401814506, 401814524, 401814539]",101.00724891182392,105.45930438790302,0.4858593049655161,0.523292847719044,0.3949129461684494,0.3368768348501312,87.78632156782126,119.88247320108216,-0.045087097992043246
Baptist (Fl) Eagles,[401832544],[],50.3209242618742,129.0663845543507,0.2051282051282051,0.2752808988764045,0.3076923076923077,0.3205128205128205,45.45537603188239,129.8706102131489,-5.0118720850840946e-08
Barber Scotia,[],[],,,,,,,,,-0.5
Baylor Bears,"[401831219, 401819829, 401827597, 401827618, 401827624]","[401819823, 401819824, 401819825, 401819826, 401819827, 401819828, 401819830, 401819831, 401819832, 401819833, 401827605, 401827609, 401827632, 401827641]",118.90988905088642,106.9595100736434,0.5577207905996971,0.5952436317500802,0.3880537623414866,0.4032852005739447,106.13499025348084,115.23100542555972,-0.3207182984967023
Bellarmine Knights,"[401823213, 401819889, 401817435, 401823216, 401823220, 401823223, 401807661, 401807667, 401807685, 401807692, 401807698, 401807703]","[401823214, 401823215, 401823217, 401823219, 401823221, 401823222, 401807674, 401807682]",115.6811666106926,120.92632186501687,0.584123663930442,0.626417083077985,0.4027200610299328,0.3833512813484451,96.7970147061485,129.6964565008955,-0.005421922791617018
Belmont Abbey Crusaders,[401827517],[],74.26283218056061,139.4857344135259,0.4519230769230769,0.4417879417879418,0.4615384615384615,0.25,62.71899490118635,137.90781786869834,-1.5848680739949e-05
Belmont Bruins,"[401811967, 401830882, 401811970, 401811972, 401830199, 401811973, 401830200, 401830203, 401830204, 401830206]","[401811965, 401811966, 401811968, 401811969, 401829681, 401811971, 401830198, 401830201, 401830202, 401830205, 401830207]",115.52060500347127,97.73307849389032,0.5998151358453276,0.6219866955808862,0.4323219598949169,0.3379774891830513,103.91937795915584,109.64269973491852,-0.09151848207727376
Benedictine (AZ) Redhawks,[401825594],[],72.59528130671505,136.21161447248406,0.4196428571428571,0.4826254826254826,0.375,0.25,61.03162841019048,150.1404655811266,-6.309533634336062e-06
Benedictine University (IL) Eagles,[401823463],[],80.75545424943014,146.20431115276477,0.4375,0.4561506768687464,0.578125,0.140625,69.2082309804406,168.55311849552697,-3.1622676602000025e-06
Berea Mountaineers,[401826830],[],85.6473737035798,115.47499160792214,0.4508196721311475,0.4860267314702308,0.4590163934426229,0.180327868852459,74.84978547084124,132.94724585257953,-0.006270012341433838
Bethany (WV) Bison,"[401823416, 401820214]",[],71.32079080286186,120.29723973511928,0.4486177884615384,0.4645566392554344,0.4981971153846154,0.1688701923076923,67.93253624215876,129.8114668778295,-6.309175362748656e-05
Bethel (TN) Wildcats,"[401823361, 401826834]",[],83.51255027258873,119.57043898271884,0.3983134920634921,0.4495058854858249,0.3343253968253968,0.2827380952380952,74.09436985770301,133.73067115666262,-0.0007936977781692436
Bethesda University Flames,"[401830113, 401824022, 401823540, 401829325, 401823175, 401826954, 401831990]",[],71.30422013614722,138.36665619462755,0.3582061417945246,0.3934753720065754,0.4091861827414439,0.2153857750712068,63.67451394638313,150.58484110675815,-2.682688598442304e-06
Bethune-Cookman Wildcats,"[401823474, 401809414, 401813437, 401827110, 401827111, 401827113, 401817191, 401826887, 401813297, 401827115, 401827141]","[401827109, 401823344, 401831236, 401827112, 401827114, 401827096, 401827024, 401827117]",103.05483545589249,109.5488545602296,0.5085205539371556,0.548585537291081,0.3201440809792392,0.379499391739055,89.70107551644251,119.68235721395132,0.25108093982894564
Binghamton Bearcats,"[401817476, 401820605, 401820606, 401813351, 401817450, 401820216, 401820611, 401812110, 401812118, 401812127, 401812131]","[401820604, 401813374, 401820607, 401820608, 401820609, 401820610, 401812651, 401820612, 401812108, 401812116, 401812123]",99.4454093696848,111.96454238891516,0.4961586250994577,0.5539353972791442,0.3252273882394901,0.4572422244535339,84.91212328304623,127.96842582368028,0.06141272669694141
Blackburn Beavers,[401843145],[],70.02500893176135,145.58058925476604,0.4705882352941176,0.4762830482115086,0.7058823529411765,0.0196078431372549,64.12370099535231,172.86499972900015,-0.0015823852808017208
Bloomfield Deacons,[401831530],[],108.5814360770578,112.92719167904905,0.5394736842105263,0.565968841285297,0.4473684210526316,0.1842105263157894,94.43400521516408,123.90834369003235,-0.3868631798468569
Bloomsburg Huskies,[401817201],[],65.92564200843236,127.34944380514,0.33,0.3920495988329686,0.4,0.22,57.22141437745408,132.62870522614196,-9.999000099990002e-05
Blue Mountain Toppers,"[401827171, 401824954]",[],79.58208218501912,134.4584116836779,0.3587873674059788,0.4167824717435612,0.4051350048216008,0.2710945033751205,71.57306220924436,145.5460526836999,-7.078956692086574e-05
Bluefield State Big Blues,[401828734],[],92.17982621836042,120.2655212807497,0.5638297872340425,0.5785280728376327,0.3829787234042553,0.2765957446808511,77.67749571431837,136.63972551873542,-0.024503367550335983
Bluefield University Ramblin' Rams,[401826937],[],91.34948096885812,129.46979038224416,0.4136363636363636,0.4838709677419354,0.2818181818181818,0.5454545454545454,81.18468679037296,141.6337791878149,-0.0012573425113552932
Bob Jones Bruins,"[401827060, 401824872, 401827072]",[],71.4200555805124,138.63666337050532,0.4064288317842172,0.4263101676093015,0.4376587084624263,0.1600814045319239,65.17654326285357,145.95979812088763,-6.812874275007512e-06
Boise State Broncos,"[401831203, 401820828, 401823820, 401823771, 401823823, 401823825]","[401823813, 401823814, 401823815, 401823816, 401823817, 401823818, 401831198, 401813453, 401823819, 401823821, 401823793, 401823822, 401830828, 401820565]",110.111665225967,104.06319616161883,0.5131414880554332,0.5677712320731488,0.4215405475478108,0.4221308754879466,98.90550788313018,108.60736112035956,-0.16599467076648888
Boston College Eagles,"[401817211, 401817213, 401820645, 401820659, 401820667, 401820692]","[401817212, 401812644, 401817214, 401809311, 401831228, 401812606, 401806378, 401817215, 401817216, 401812313, 401817217, 401820651, 401820674, 401820684]",99.93641010006344,99.067965449336,0.4704477171068348,0.5071364355664738,0.4369639361527307,0.3536120780678142,90.02202933653146,105.54343254536634,-0.052878199574810936
Boston University Terriers,"[401824356, 401824357, 401818369, 401824359, 401823388, 401824361, 401824362, 401820160, 401824365, 401820198, 401824369]","[401818549, 401824358, 401812605, 401824360, 401820630, 401824363, 401824364, 401824366, 401824367, 401824368]",112.59798940689458,114.14612323704878,0.578853791173558,0.6061046339746363,0.441548863102675,0.3229010909994598,97.4343102821906,126.6104790389748,-0.08620092033724569
Bowie State Bulldogs,[401830238],[],86.27696155048453,102.78113663845224,0.4090909090909091,0.5560928433268859,0.3636363636363636,0.9318181818181818,81.62872426905977,115.06410116723669,-0.024503367550335983
Bowling Green Falcons,"[401823418, 401823421, 401819893, 401813768, 401814500, 401814504, 401814530, 401814535]","[401823415, 401823416, 401823417, 401823419, 401823420, 401823422, 401823423, 401822346, 401823424, 401814494, 401814510, 401814523]",114.93552480372958,95.80526754027848,0.5507199805205797,0.5934751616015579,0.3423933269014796,0.3979015491208216,97.51185186679928,108.08722911943951,-0.32437142040686184
Boyce Bulldogs,[401823395],[],78.88631090487239,135.9447004608295,0.4765625,0.4907621247113164,0.40625,0.1875,68.50405022231065,142.16394319199514,-9.99990000099999e-06
