home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction
The Citadel Bulldogs,Davidson Wildcats,63,79,-16,0,0,-13.0,-5.925204516154039,12.330865515770723,-9.8480037271369,14.374353108390125,-0.040736352630334,-0.034260038970849,0.0550761823909053,-0.0607143517770523,0.1591303955754448,-24.222356835527023,-3.8545132250069947,0.9867304695898099
Long Beach State Beach,UC Santa Barbara Gauchos,77,84,-7,0,0,-4.199999999999999,-12.44873029645683,0.8296563721927015,-11.160339611888377,-2.647862617980138,-0.0537063216050753,-0.0620434088916845,-0.0633646340659497,-0.0896433911979589,0.15249673628667,-8.512476993908237,-1.2981249592863697,0.45717382709064036
UC Riverside Highlanders,UC Irvine Anteaters,60,73,-13,0,0,-9.01923076923077,-3.8601501520447528,18.15892202714396,-1.759508440856905,18.66143099441095,0.0006083576108926,0.0025687135175467,0.0851984121263362,-0.0294440815224202,0.3872104133112357,-20.42093943526785,-7.907200398933776,-0.012423233927022029
Cal Poly Mustangs,Cal State Fullerton Titans,94,91,3,0,0,-11.909090909090908,-5.7411752499114215,5.90566512798182,-2.3051600732677286,3.900749452708965,-0.0127907080894524,-0.0019272097586341,0.120194434277165,-0.0189853079058689,0.2923434855913547,-6.205909525976697,-1.8142572220886195,0.07937797717631985
Cal State Bakersfield Roadrunners,Cal State Northridge Matadors,66,87,-21,0,0,-13.036363636363635,-4.5937495470084,2.786512506902028,-4.642134754513847,3.29373293975695,-0.0429331210921151,-0.015627218045813,-0.0621164903452653,0.0805689011771818,0.1745775281671149,-7.935867694270797,-1.3854241659270572,0.3407115686891324
UC Davis Aggies,Hawai'i Rainbow Warriors,69,75,-6,0,0,4.708333333333334,-1.4819504332639042,14.23377997541992,0.9376477485357526,15.019324131831922,0.0072074758811464,0.0079187637530179,0.0319075572315077,-0.0217649660398744,0.061041589638406,-14.081676383296172,-0.8595679112099981,-0.10149334289871603
Barber Scotia,Florida A&M Rattlers,0,0,0,0,1,,,,,,,,,,-0.8633121649107964,,,
Fairfield Stags,Manhattan Jaspers,66,70,-4,0,0,7.272727272727272,4.22850883046668,-8.269665285011428,3.2268812916738625,-6.567884503125271,0.0115654574145473,-0.0048686670018536,0.0134575516556433,-0.0611854404537489,-0.2732020169425986,9.794765794799131,-2.6759497706194977,0.11328094668521389
Mount St. Mary's Mountaineers,Marist Red Foxes,56,64,-8,0,0,-8.068376068376068,-7.292805630461643,11.995155336843084,-5.197316529360194,14.444855414552464,0.0011562540635527,-0.0042912774451284,0.0871296601289254,0.0878290155513467,0.3781893418375952,-19.642171943912658,-7.428460079729207,-0.022711341127149846
Canisius Golden Griffins,Saint Peter's Peacocks,57,69,-12,0,0,-13.138888888888888,-9.483544963856318,7.286244827659559,-6.90168767669735,5.025844577101239,-0.0005531995015102,-0.0150130808487329,-0.0138139274174445,-0.0435730512819844,0.3482871322872584,-11.927532253798583,-4.154206003939288,0.006598304897048208
Niagara Purple Eagles,Siena Saints,54,83,-29,0,0,-12.192307692307692,-10.377020928463224,12.042349001822243,-10.133990440382718,12.154432390329688,-0.0161094195929319,-0.0248292688775488,0.079034175428129,-0.0698700242847,0.2666720244274683,-22.28842283071241,-5.943698837561482,0.3590535554446292
Bryant Bulldogs,Brown Bears,56,75,-19,0,0,-11.666666666666668,-9.25769390773668,10.355549758453575,-1.946777736470338,11.160814878553635,-0.0366144586791604,-0.027550319791376,0.1204300041896394,0.0127816467009334,0.5013966033850918,-13.10759261502398,-6.572102415728538,0.4799274081860635
Mercyhurst Lakers,Lafayette Leopards,71,79,-8,0,0,5.555555555555555,0.9986622930736786,-9.808492760895192,-1.3938762432088936,-6.806503283421748,0.0167386886571444,0.0039730576886353,-0.0790376220343925,-0.0813536218850434,-0.1058578036131273,5.412627040212854,-0.5729688102539547,0.09060027884336397
Quinnipiac Bobcats,Iona Gaels,89,68,21,0,0,9.35,3.399849463576757,-0.5528723871413632,2.976038636020718,0.4729097322926492,-0.0151812276932215,-0.0090849883479806,-0.115774333834307,0.037012449740494,-0.1918267264358415,2.503128903728072,-0.48016702344909273,-0.03800056983297978
Samford Bulldogs,VCU Rams,57,83,-26,0,0,6.311111111111111,-8.864277632328196,6.745971246034486,-12.98210810453132,12.020536579016635,-0.0342325313814405,-0.0453136358132723,0.0231480778556349,-0.0312493168745126,0.13503785924526,-25.002644683547956,-3.376303613536197,0.8559038187485619
Gonzaga Bulldogs,Kentucky Wildcats,94,59,35,0,1,49.90909090909091,3.7158890261101902,-10.497103791790636,0.6069387616514206,-7.821791471083472,0.0315885744290551,0.0123715693630515,-0.1024121902569464,-0.0659083338875521,0.2034832391240299,8.428730232734894,1.7151053294595346,0.2662515722991731
Lewis & Clark Pioneers,Portland Pilots,87,104,-17,0,0,-17.0,14.323124463413649,26.74117251672793,10.808157992366604,34.49795296538605,0.1015365708444956,0.0919512326556016,0.2530757131753718,-0.1263225503588445,-0.0545173848007003,-23.689794973019445,1.2915056683937967,-2.4053805455695647
South Alabama Jaguars,East Tennessee State Buccaneers,65,91,-26,0,0,15.057142857142855,-6.416290390019583,2.142395958182135,-6.111922972402681,6.939153225727679,-0.0355378659114147,-0.035395794697312,-0.0431664695624287,0.0920897299048035,0.1200209306233913,-13.05107619813036,-1.5664023109363974,0.4638073959288127
NJIT Highlanders,High Point Panthers,72,89,-17,0,0,-11.76923076923077,-30.99905502835405,11.99266022942274,-21.15731766602339,9.01282931512749,-0.131444047224482,-0.1258581283808379,0.0218870456770725,-0.099731419309068,0.4804890657820598,-30.17014698115088,-14.496425737480617,3.965686224559959
South Carolina State Bulldogs,Bethune-Cookman Wildcats,59,80,-21,0,0,-24.714285714285715,-10.08639772067363,6.611517226737078,-8.543342538600385,8.186840366892596,-0.0490092062275591,-0.0503919739257654,0.0002202502409173,0.0104443641543104,-0.0359647712533354,-16.73018290549298,0.6016972012225174,0.8199329842400894
Northwestern State Demons,McNeese Cowboys,54,92,-38,0,0,-6.636363636363637,-13.343662787479404,17.01895114639028,-11.231327798333282,18.712225010563145,-0.0170751013705973,-0.0125153952087537,0.0172326443748431,0.0592974223066531,0.2500260298728909,-29.943552808896428,-7.486667629097624,0.5112891996077401
East Texas A&M Lions,UConn Huskies,59,83,-24,0,0,2.071428571428573,-13.656293254280088,11.85401327742693,-15.921546483193184,19.202626342233515,-0.0386383498915863,-0.03950917749134,0.0856933661398324,-0.0233037514695986,0.0195900878852587,-35.1241728254267,-0.6880856325471243,1.3571400792813841
Cincinnati Bearcats,Xavier Musketeers,74,79,-5,0,0,5.566666666666666,-7.120224964492834,-10.13636903434228,-6.339143094532986,-11.509835887775395,-0.0221764399461296,-0.0233615251609413,0.0272744391071537,0.0472215286165478,-0.2396444954903142,5.170692793242409,-1.2391280657719808,-0.11466755820922542
Christendom Crusaders,VMI Keydets,36,89,-53,0,0,-53.0,-53.92193635136597,10.763088491480133,-44.791352605642125,12.066970107635685,-0.2390368975129875,-0.2560276271655563,-0.2558076368564796,-0.1742180833978029,-0.0009720486107018,-56.8583227132778,0.055269053600276286,13.591237059174155
UAB Blazers,Drake Bulldogs,74,69,5,0,0,8.333333333333334,0.2033973969216305,-1.3447947778168725,1.038381595816901,-5.060561172427342,-0.0460451836522732,-0.0371366033813606,-0.1620418661925478,0.0271550300174856,0.0042706316777637,6.0989427682442425,0.026046338186931695,-0.28082693984850965
Cleary University Cougars,Eastern Michigan Eagles,48,86,-38,0,0,-42.0,-37.53617373307972,19.53930996096392,-32.728911965645885,21.3247596672293,-0.1626166235917058,-0.1724521525976349,-0.0145613291437248,-0.0205265688526445,0.0643240924123712,-54.053671632875194,-3.476953369341032,8.790025573672931
Notre Dame Fighting Irish,TCU Horned Frogs,87,85,2,0,0,4.333333333333333,-3.1632026329393597,6.302993139274562,-1.0475087476959288,5.787053900796067,-0.0037214189760436,-0.0125393265330698,0.0470830682547961,-0.040308354425781,0.1463868144327046,-6.834562648491994,-1.0004898541534917,0.02543427113305691
San Diego Toreros,San José State Spartans,69,86,-17,0,0,-6.509615384615385,1.512770446190359,-6.129212010226738,1.0036009043670333,-4.423477702759513,0.0265340313748781,0.0204986584004157,0.0610077707315774,-0.0679075470456189,-0.0810210954637253,5.427078607126546,-0.43970785391714123,0.1440022740354255
UMBC Retrievers,Bucknell Bison,73,66,7,0,0,9.966666666666669,13.03945266349578,-9.866559081230804,9.028297588452588,-0.831012014736956,0.0696290733378916,0.0596229491917384,-0.0486381414832562,0.0154815325595285,-0.348419528924998,9.859309603189544,-3.43517600746901,0.6864945914214637
Southern Miss Golden Eagles,Miami Hurricanes,64,88,-24,0,0,4.488095238095237,-13.09448159226784,6.744243852800622,-11.383143357005451,11.88318804960086,-0.0695056673595501,-0.0491028481365167,-0.0256974191982227,0.0366283228337752,0.1578003619313007,-23.266331406606312,-3.671435516776065,1.6171418914246318
Dayton Flyers,Virginia Cavaliers,73,86,-13,0,1,15.03030303030303,-12.747198432396942,-1.5460112576519975,-12.310592945137202,0.8398911657727979,-0.045785875524632,-0.021532126675463,-0.045375331137885,0.1040132197010749,-0.0309875496752942,-13.15048411091,0.4075012796409907,0.6021064285907762
Rhode Island Rams,Providence Friars,71,90,-19,0,0,9.636363636363637,-8.175985490827486,-10.51228726626296,-8.979503297260436,-11.243112566524232,-0.0287149037635817,-0.0334629180138784,0.0220811095193823,0.0168462763781354,0.0491119073472479,2.263609269263796,0.11117016870245507,-0.0649993223252614
New Haven Chargers,Boston College Eagles,63,67,-4,0,0,-2.836363636363636,-0.53667499695392,4.3020562481466555,-4.93341461247212,12.94931399350034,0.0315810525753417,0.0214232980374035,-0.0339342131316807,-0.0789413037098771,0.1369911172152968,-17.88272860597246,-2.4497749705901146,-0.5647553922957833
Duke Blue Devils,Michigan State Spartans,66,60,6,0,0,43.46666666666667,5.829188242317514,0.017259833635066,7.587635241891562,1.0949417398335015,0.0328875587271029,0.0310599355724109,0.0929526184918946,0.0665902970476706,0.0385736509907627,6.49269350205806,0.2504468931383804,0.21352883884601387
Iowa State Cyclones,Purdue Boilermakers,81,58,23,0,0,33.38181818181818,-3.098516620672598,-8.765889195643837,-2.0730791296271462,-4.903130511865726,-0.0066008374887915,-0.00791206601651,-0.0134478844243522,0.0992667287277008,0.0270944887257311,2.8300513822385795,0.07667879526930291,-0.01868070925908662
Monmouth Hawks,Georgia Tech Yellow Jackets,67,79,-12,0,0,2.9111111111111105,1.3802116573479566,0.7917349848667499,-1.8802291243771947,3.1172901733577305,-0.0146343958535051,-0.0087629348461055,0.009782725489455,-0.0143576062894135,-0.053335947909006,-4.997519297734925,0.2665474289382422,0.0731356756885837
Old Dominion Monarchs,Richmond Spiders,77,86,-9,0,0,-2.60576923076923,-9.350558474083996,5.363707649425876,-7.4806371890664,4.285308295422453,-0.0370508006709264,-0.0434053213272509,-0.0306165860395737,-0.0471344813271097,0.1787199111774854,-11.765945484488856,-2.102808731906984,0.43593770085078315
UNC Asheville Bulldogs,NC State Wolfpack,63,75,-12,0,0,1.2111111111111108,-11.915701213173191,4.136326730370143,-13.69597901628626,8.934757532351867,-0.0360489854132981,-0.0388723365764085,-0.0986081547172346,0.0376204138850306,0.0958547886042757,-22.63073654863813,-2.169264467828764,0.8158150917340482
Maine Black Bears,Miami (OH) RedHawks,61,93,-32,0,0,-11.458333333333334,-32.30290593236985,2.8789050117336927,-21.44835629237278,0.5073250877510418,-0.1363047204199433,-0.1411902367539276,-0.0967177794486617,-0.0388964119484154,0.0357813985475672,-21.95568138012382,-0.7856049858456107,2.992663012147132
Utah Valley Wolverines,Bowling Green Falcons,82,71,11,0,0,18.075,-1.7269521517236512,0.1643412682577434,0.9895491989476852,1.3738556795919692,0.0140968464049932,0.0021138528534685,0.0013371454235294,-0.0493136167430682,0.0844296021069764,-0.3843064806442839,-0.03244684324792932,-0.0054175094300859625
