home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction
Stonehill Skyhawks,Providence Friars,49,76,-27,0,0,-23.75,-19.288049812453423,20.501550017887595,-18.243165267091143,17.12295214356483,-0.0666376040040734,-0.0626948697524966,-0.0055475321511037,-0.0531319981324401,0.0517821169005523,-35.366117410655974,-1.8313324260772457,2.3567133271728586
New Hampshire Wildcats,UConn Huskies,53,92,-39,0,0,-40.5,-39.24521105808971,30.660615428793506,-32.33399231966895,15.56576543315724,-0.1524039805218731,-0.1456419090430299,-0.1134780929636491,-0.0110808849341011,0.1880951130706442,-47.8997577528262,-9.00971035057431,7.300113747564163
Fairleigh Dickinson Knights,Creighton Bluejays,70,96,-26,0,0,-21.5,-12.715146306914916,28.6437963047088,-12.33817040176713,27.19917528633472,-0.0782332451083287,-0.0779185261773649,-0.0633801938689204,-0.0314516150157976,0.0970912387291393,-39.53734568810185,-3.8387298689200033,3.093134856149995
Western Michigan Broncos,Butler Bulldogs,65,85,-20,0,0,-19.0,-20.466967328079846,9.783248154999868,-16.470502182174414,5.733226893385492,-0.130596905181111,-0.1450964450494842,-0.0601106002140843,-0.1602501687657446,0.1096511306501274,-22.203729075559902,-2.4346639977842512,2.899738300747974
Mercer Bears,DePaul Blue Demons,64,95,-31,0,0,-21.5,-10.784035792575551,15.604327098618455,-5.424804838621739,16.103449109903323,-0.0336141646355369,-0.0390012217234986,-0.0475965692072373,-0.036192389658527,-0.0073476312654753,-21.528253948525062,0.15818167180327483,0.7236542725413688
Central Michigan Chippewas,Marquette Golden Eagles,62,70,-8,0,0,-21.333333333333332,-30.662035024827745,17.612802229417042,-24.71914064284563,10.923781287566513,-0.1121590455925083,-0.1073271032280437,-0.0543166605984467,-0.0075525277820744,0.1636150586204136,-35.64292193041214,-5.831718761047208,3.99767610584331
Villanova Wildcats,Saint Joseph's Hawks,76,83,-7,0,0,10.45054945054945,11.218971946837172,2.829534321625445,4.890199112777438,13.637260257330825,0.0415815614598621,0.0326293834693006,-0.0125628583259975,-0.1003771283980407,-0.2345588761546954,-8.747061144553385,2.0517008317228456,-0.36371646057541834
Hampton Pirates,Providence Friars,51,60,-9,0,0,-9.0,-23.7144589954393,-0.4912998230787337,-20.91021092286094,-4.203485774029019,-0.1750018223329145,-0.1417884940651241,-0.0161700987878213,-0.0941310497446993,-0.0558343959628581,-16.70672514883192,0.932809907202521,2.9237073462607186
Jackson State Tigers,Xavier Musketeers,57,94,-37,0,0,-39.6,-30.477536449811012,33.876605880738296,-22.2022259973497,22.493424890985835,-0.1469137289337331,-0.1469507190514934,-0.0157047346433802,-0.0774631943627579,0.180265871946356,-44.695650888335535,-8.057100479595725,6.566404739125694
Wagner Seahawks,St. John's Red Storm,45,66,-21,0,0,-23.75,-40.402583445294994,15.353809655101031,-31.36854499852437,15.79024903273995,-0.1625137297705113,-0.1724684672395431,0.0590084735026717,-0.1764214015776547,0.0781679403426924,-47.15879403126432,-3.6863057984691876,7.663951509500091
Le Moyne Dolphins,UConn Huskies,49,90,-41,0,0,-24.666666666666668,-31.36784440804439,25.88800095936226,-26.0292635494081,17.88124324902229,-0.1078605693570851,-0.1061717643296327,-0.0094253130670478,-0.0361642253301799,0.1847813008168174,-43.91050679843038,-8.11384056573967,4.736212264036857
Seton Hall Pirates,Hofstra Pride,48,49,-1,0,1,-17.357142857142858,15.983299687440391,-0.7290951278942828,9.680757337433306,4.740372162621142,-0.0058944911795593,0.0072670795422439,-0.1592032479045441,0.2001238182218739,-0.2264508851461891,4.940385174812164,-1.1187545957993248,-0.029121056836555827
Houston Christian Huskies,Creighton Bluejays,43,78,-35,0,0,-32.666666666666664,-35.977710177219976,25.72603416919911,-27.171226416972516,20.31745144570232,-0.2082987211985867,-0.1991005020547444,0.0010447625335974,-0.0310022879196277,0.103580053348285,-47.488677862674834,-4.91887978645538,9.891830870206801
Duquesne Dukes,DePaul Blue Demons,58,84,-26,0,0,-26.0,-15.176576127404871,27.5904553825452,-10.988871177663654,27.67572625207987,-0.1308789489819314,-0.1251169542629192,-0.1103190906040023,0.0411632379633825,-0.0028235324931218,-38.66459742974352,0.10917074717635447,5.060381874414318
Wagner Seahawks,Seton Hall Pirates,28,54,-26,0,0,-23.75,-28.5598652203974,-0.922414127187082,-22.293062309249237,-2.4489738379554495,-0.1171569260022927,-0.1344788739315158,0.0521819841441499,-0.2122528968726917,-0.094256358970846,-19.844088471293787,1.8704315263994937,2.324872404614316
Green Bay Phoenix,Providence Friars,65,79,-14,0,0,-20.0,-10.552035062493886,21.05825420808435,-8.905952967779484,18.774167698171382,0.0498797969814779,0.0415626176506543,0.0759000626100712,-0.0235694917881834,0.0460803837162488,-27.680120665950874,-1.2755105815990846,-1.3806787992404406
Kansas City Roos,Creighton Bluejays,56,79,-23,0,0,-24.5,-27.018157687082635,17.76504637686834,-17.679947082365587,12.02499530883486,-0.1866761504175356,-0.1792895627551808,0.0116296976030869,-0.1452152908046628,0.1005853410201305,-29.704942391200447,-2.9878817604022276,5.545204293963964
New Mexico Lobos,St. John's Red Storm,71,85,-14,0,0,-14.0,-4.419904836831236,16.22720254091999,3.82043876361611,12.529382727163268,0.0201349080317996,0.0272122890423616,-0.0055481689205507,0.0953714250493842,0.0679800130914002,-8.708943963547156,-0.5920341246542065,-0.17535378576011829
Delaware State Hornets,Providence Friars,48,78,-30,0,0,-25.0,-21.79524531041039,18.617800929437593,-19.270149569135256,13.8923991949099,-0.1351016169677495,-0.1072867452303221,-0.283879635432668,0.0798396560993219,0.0528290646319986,-33.162548764045155,-1.7519464320175469,4.480313960794343
East Texas A&M Lions,UConn Huskies,46,81,-35,0,0,-29.25,-43.05641104357902,15.6563011567753,-33.75611747504047,4.283793632955195,-0.1522029046576157,-0.1631446260551037,-0.0021644532672627,-0.0631299348181131,0.1869971388551796,-38.039911107995664,-7.113354539500554,5.789784963554441
Pennsylvania Quakers,Villanova Wildcats,49,93,-44,0,0,-32.0,-34.88385060214742,26.356984881016885,-27.522016259888815,15.015772891666929,-0.1456775207032804,-0.1397170359304045,0.0852535267017839,0.120196391107503,0.2330113795438913,-42.53778915155574,-9.911788932951177,6.196799659797539
Eastern Illinois Panthers,DePaul Blue Demons,69,78,-9,0,0,-22.6,-20.74548567327237,10.906072897775886,-13.458497632906557,6.322904791588925,-0.1011201176206999,-0.1041210327457818,-0.189491838963112,-0.0720523581066482,-0.0057833140988726,-19.78140242449548,0.11440206353705733,2.000297739867381
