team,home_game_id,away_game_id
Harvard Crimson,"[401706921, 401715595]",[]
Hawai'i Rainbow Warriors,[],"[401700437, 401729809]"
Hofstra Pride,"[401715654, 401706949]",[401715562]
Holy Cross Crusaders,"[401700456, 401715439]",[]
Houston Christian Huskies,"[401715345, 401715361, 401715450]",[]
Houston Cougars,"[401719213, 401725633, 401725659, 401725676, 401725690, 401725701]","[401706947, 401719210, 401706926, 401706948, 401706949, 401730559, 401706950, 401706951, 401706952, 401706953, 401725639, 401725646, 401725669, 401725681, 401725707, 401725712]"
Howard Bison,"[401715308, 401706962, 401715633]",[]
IU Indianapolis Jaguars,"[401706956, 401715622]",[]
Idaho State Bengals,"[401720871, 401710002, 401720869]",[]
Idaho Vandals,[401706912],[]
Illinois Fighting Illini,"[401707850, 401707853, 401721311, 401706891, 401721324, 401721334, 401721354, 401721368, 401721391, 401721407]","[401707847, 401707848, 401707849, 401707851, 401707852, 401721319, 401707854, 401707855, 401721339, 401721346, 401721376, 401721382, 401721399]"
Incarnate Word Cardinals,[401706889],[]
Indiana Hoosiers,"[401721321, 401721332, 401721347, 401721362, 401721375, 401721394, 401721405]","[401707861, 401707857, 401707858, 401707859, 401707860, 401729740, 401729744, 401707862, 401707863, 401721318, 401707864, 401707865, 401721322, 401721340, 401721354, 401721383]"
Indiana State Sycamores,[401715412],[]
Iona Gaels,[401706164],[]
Iowa Hawkeyes,"[401721312, 401721328, 401721355, 401721363, 401721386]","[401715378, 401715379, 401715380, 401715381, 401706163, 401715382, 401715383, 401721304, 401706959, 401715384, 401715385, 401715386, 401721337, 401721347, 401721370, 401721377, 401721401]"
Iowa State Cyclones,"[401706959, 401729693, 401725631, 401725655, 401725674, 401725687, 401725694, 401725710]","[401714643, 401706954, 401706955, 401706956, 401729695, 401706957, 401706958, 401706960, 401706961, 401725644, 401725648, 401725667, 401725683, 401725706]"
Jackson State Tigers,"[401722066, 401714910, 401706926, 401706958, 401715623]",[]
Jacksonville Dolphins,"[401706904, 401714889, 401714902, 401715650]",[]
Jacksonville State Gamecocks,[401715315],[]
James Madison Dukes,[401700469],[]
Kansas City Roos,"[401706955, 401715451]",[]
Kansas Jayhawks,"[401706886, 401706968, 401706967, 401725645, 401725656, 401725667, 401725684, 401725705]","[401700435, 401706969, 401706963, 401706962, 401706964, 401706965, 401706966, 401706970, 401725637, 401725652, 401725675, 401725690, 401725697, 401725710]"
Kansas State Wildcats,"[401706977, 401706979, 401725641, 401725649, 401725675, 401725685, 401725706, 401725714]","[401706973, 401706971, 401706972, 401706974, 401706975, 401732297, 401732301, 401706976, 401706978, 401725630, 401725659, 401725663, 401725691, 401725699]"
Kennesaw State Owls,[],[401700269]
Kent State Golden Flashes,"[401714642, 401721036]",[]
Kentucky Wildcats,"[401700423, 401714915, 401714913, 401708311, 401708319, 401708352, 401708354, 401708371]","[401706883, 401700432, 401714908, 401714909, 401711685, 401714910, 401714911, 401714912, 401714914, 401714916, 401708302, 401708327, 401708334, 401708361]"
LSU Tigers,"[401714920, 401700450, 401706973, 401729803, 401708312, 401708318, 401708337, 401708346, 401708370]","[401714922, 401714917, 401714918, 401714919, 401714921, 401714923, 401711761, 401714924, 401714925, 401708303, 401708328, 401708356, 401708362]"
La Salle Explorers,[401700394],[]
Lafayette Leopards,[401715615],[]
Lamar Cardinals,"[401715357, 401715643]",[]
Le Moyne Dolphins,"[401706892, 401715686, 401715609]",[]
Lehigh Mountain Hawks,"[401715397, 401710001, 401715466]",[]
Liberty Flames,[401732297],[]
Lindenwood Lions,"[401727313, 401715313, 401715323]",[]
Lipscomb Bisons,"[401711682, 401711685]",[]
Little Rock Trojans,"[401707852, 401727319]",[]
Long Island University Sharks,"[401715317, 401715314]",[]
